"DON'T NOD", Life is Strange 2
'EA Sports', FIFA 23
'EA Vancouver', FIFA 23
'EA', Mass Effect Legendary Edition
'Eat Sleep Play Inc.', Twisted Metal
'Ebb Software', Scorn
'Eidos Interactive', Just Cause 2
'Eidos Montréal', Deus Ex: Human Revolution
'Eighting', Kuru Kuru Kururin
'Electronic Arts', Mass Effect 2
'Ember Lab', Kena: Bridge of Spirits
'Endnight Games Ltd', The Forest
'Enhance Games', Rez Infinite
'Enix America Corporation', Dragon Quest II: Luminaries of the Legendary Line
'Epic Games', Alan Wake Remastered
'Eric Lost', Pokémon Añil
'Euphoric Brothers', Garten of Banban 2
'Everything Unlimited Ltd.', The Beginner's Guide
'Extremely OK Games', Celeste: Farewell
'FUN Labs', Prototype 2
'Facepalm Games', The Swapper
'Facepunch Studios', Garry's Mod
'Factor 5', Resident Evil 2
'Fancy Force', Happy Wheels
'Fellow Traveller', Citizen Sleeper
'Feral Interactive', LEGO Batman 2: DC Super Heroes
'Finji', Chicory: A Colorful Tale
'Firaxis Games', Sid Meier's Civilization V
'Fizz Creations', Pac-Man in a Tin
'Flying Wild Hog', Evil West
'Focus Entertainment', Atomic Heart
'Fox Interactive', The Simpsons: Road Rage
'Freebird Games', To the Moon
'French Bread', Melty Blood Actress Again Current Code
'Frictional Games', Amnesia: The Dark Descent
'FromSoftware', Dark Souls II
'Frontwing', Wonderful Everyday: Down the Rabbit-Hole
'Fruitbat Factory', 100% Orange Juice
'Furious Bee Limited', Telling Lies
'FuturLab', PowerWash Simulator
'GOA Games Services Ltd.', League of Legends
'GR3 Project', La-Mulana
'GSC Game World', S.T.A.L.K.E.R.: Shadow of Chernobyl
'Gabe Cuzzillo', Ape Out
'Gaijin Games', Bit.Trip Runner
'Galactic Cafe', The Stanley Parable
'Game Freak', Pokémon White
'Game Mill Entertainment', Nickelodeon All-Star Brawl
'Gameloft', Disney Dreamlight Valley
'Gathering of Developers', Max Payne
'Gearbox Publishing', Subnautica
'Gearbox Software', Borderlands
'Gears for Breakfast', A Hat in Time
'General Computer Corporation (GCC)', Ms. Pac-Man
'Geography of Robots', Norco
'Ghost Games', Need for Speed: Heat
'Ghost Story Games', Judas
'Ghost Town Games', Overcooked! 2
'Ghostlight Ltd.', Shin Megami Tensei: Nocturne
'Giant Sparrow', What Remains of Edith Finch
'Giant Squid', Abzu
'GoodbyeWorld Games', Before Your Eyes
'Google', Chrome Dino
'Grasshopper Manufacture', The 25th Ward: The Silver Case
'Greg Lobanov', Chicory: A Colorful Tale
'Grezzo', The Legend of Zelda: Link's Awakening
'Grinding Gear Games', Path of Exile
'Griptonite Games', The Simpsons Game
'Guerrilla Games', Horizon Zero Dawn: Complete Edition
'Gun Interactive', Friday the 13th: The Game
'Gunfire Games', Remnant: From the Ashes
'HAL Laboratory', Super Smash Bros.
'HAMSTER Corporation', The King of Fighters '98
'Half Asleep', Melatonin
'Half Mermaid', Immortality
'Halfbrick Studios', Fruit Ninja Classic
'Hangar 13', Mafia: Definitive Edition
'Happy Paintings', Fear & Hunger
'Harmonix Music Systems', Rock Band 2
'Hazelight Studios', It Takes Two
'Headup Games', Terraria
'Heart Machine', Hyper Light Drifter
'Heavy Iron Studios', SpongeBob SquarePants: Battle For Bikini Bottom
'Hi-Rez Studios', Paladins
'High Impact Games', Ratchet & Clank: Size Matters
'Hitmaker', Crazy Taxi
'HoYoverse', Genshin Impact
'House House', Untitled Goose Game
'Housemarque', Returnal
'Hudson Soft', Mario Party 4
'Humble Bundle', A Hat in Time
'Humble Games', Unpacking
'Hypnos Entertainment', The Lord of the Rings: The Two Towers
'ILCA, Pokémon Shining Pearl
'IMGN.PRO', SuperHot
'IO Interactive', Hitman 2
'Ice-Pick Lodge', Pathologic 2
'Iggymob', Gungrave G.O.R.E
'Ignition Entertainment', Deadly Premonition
'Illfonic', Friday the 13th: The Game
'Infinite Fall', Night in the Woods
'Infinity Ward', Call of Duty: Modern Warfare
'Infogrames Europe', Worms Armageddon
'Inlusio Interactive', Hitman World of Assassination
