'Puzzle', 3.8520984665052556, 81.4735780556676
'Fighting', 3.4057082452431215, 77.65327695560254
'RPG', 3.8553987122337365, 84.71877318822656
'Visual Novel', 4.026953124999971, 82.328125
'Adventure', 3.7748382458662277, 82.59779200418082
'Real Time Strategy', 3.7660550458715596, 81.28440366972477
'Turn Based Strategy', 3.94512922465207, 83.0854870775348
'Tactical', 3.9016913319238657, 84.62684989429175
'Racing', 3.561945031712466, 79.6828752642706
'Indie', 3.7589515331355243, 81.28652657601978
'Strategy', 3.6636031092821377, 82.3045267489712
'Pinball', 3.5, 73.11111111111111
'MOBA', 2.3062500000000012, 71.09375
'Brawler', 3.7476688102894253, 83.89357429718875
'Music', 3.6330303030302917, 73.92121212121212
'Arcade', 3.610162162162168, 81.53995680345572
'Platform', 3.6786587625046323, 86.09466469062616
'Point-and-Click', 3.730460624071297, 85.81723625557207
, 3.6315789473684226, 80.0
'Shooter', 3.7045800038979064, 82.47964153516462
'Sport', 3.5519607843137346, 78.0326797385621
'Quiz/Trivia', 3.2214285714285724, 35.535714285714285
'Simulator', 3.6963378617838196, 80.624335499114
'Card & Board Game', 3.6581967213114805, 83.68852459016394
