2023-05-11 06:49:00,2023-05-11 06:50:00,Hootsuite Inc.,12
2023-05-11 06:49:00,2023-05-11 06:50:00,Twitter for Advertisers,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Instagram,2
2023-05-11 06:49:00,2023-05-11 06:50:00,HeyOrca,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Cloud Campaign,1
2023-05-11 06:49:00,2023-05-11 06:50:00, star players to watch | Miami Herald,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Оwly,2
2023-05-11 06:49:00,2023-05-11 06:50:00,ProxyCentral CNNnews18,2
2023-05-11 06:49:00,2023-05-11 06:50:00,LaterMedia,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Agorapulse app,2
2023-05-11 06:49:00,2023-05-11 06:50:00,Meltwater Social,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Buffer,5
2023-05-11 06:49:00,2023-05-11 06:50:00,Brandwatch,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Salesforce - Social Studio,1
2023-05-11 06:49:00,2023-05-11 06:50:00,Twittimer,1
2023-05-11 06:36:00,2023-05-11 06:37:00,Twittimer,2
2023-05-11 06:36:00,2023-05-11 06:37:00,Tweetbot for iΟS,1
2023-05-11 06:36:00,2023-05-11 06:37:00,0
2023-05-11 06:36:00,2023-05-11 06:37:00,Twitter Web App,53
2023-05-11 06:36:00,2023-05-11 06:37:00,Twitter for iPhone,77
2023-05-11 06:36:00,2023-05-11 06:37:00,Jetpack.com,1
2023-05-11 06:36:00,2023-05-11 06:37:00,Twitter for Android,61
2023-05-11 06:36:00,2023-05-11 06:37:00,Zoho Social,1
2023-05-11 06:36:00,2023-05-11 06:37:00,Instagram,1
2023-05-11 06:36:00,2023-05-11 06:37:00,Hootsuite Inc.,1
2023-05-11 06:36:00,2023-05-11 06:37:00,Twitter for iPad,5
2023-05-11 06:36:00,2023-05-11 06:37:00,TweetDeck,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Twittimer,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter for iPad,4
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter Media Studio,2
2023-05-11 06:46:00,2023-05-11 06:47:00,0
2023-05-11 06:46:00,2023-05-11 06:47:00,Echobox,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Jetpack.com,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Instagram,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Qualtrics Social Connect,16
2023-05-11 06:46:00,2023-05-11 06:47:00,Hootsuite Inc.,14
2023-05-11 06:46:00,2023-05-11 06:47:00,IFTTT,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Metricool,1
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter Web App,153
2023-05-11 06:46:00,2023-05-11 06:47:00,Buffer,6
2023-05-11 06:46:00,2023-05-11 06:47:00,HubSpot,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Zoho Social,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Planable,3
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter for Advertisers,2
2023-05-11 06:46:00,2023-05-11 06:47:00,TweetDeck,17
2023-05-11 06:46:00,2023-05-11 06:47:00,Loomly,4
2023-05-11 06:46:00,2023-05-11 06:47:00,Sendible,2
2023-05-11 06:46:00,2023-05-11 06:47:00,Twitter for Android,194
